所在地,営業時間,定休日,TEL,店舗名,郵便番号,緯度,経度,IDg,cont_no,URL
岐阜県瑞浪市稲津町小里1390-1,AM9:00〜PM9:00,1月1日のみ,0572-66-1920,ゲンキー瑞浪稲津店,509-6103,35.3528573,137.2728489,3,168,http://www.genky.co.jp/shop/cont.php?cont_no=168&g=3&ar=&page=1
岐阜県岐阜市西明見町27,AM9:00〜PM9:00,1月1日のみ,058-215-0650,ゲンキー加納城南店,500-8444,35.3972515,136.76226,3,171,http://www.genky.co.jp/shop/cont.php?cont_no=171&g=3&ar=&page=1
岐阜県高山市三福寺町264,AM9:00〜PM9:00,1月1日のみ,0577-62-9780,ゲンキー高山三福寺店,506-0807,36.1511348,137.2641831,3,174,http://www.genky.co.jp/shop/cont.php?cont_no=174&g=3&ar=&page=1
岐阜県郡上市八幡町稲成1009,AM9:00〜PM9:00,1月1日のみ,0575-66-1730,ゲンキー郡上八幡店,501-4223,35.7311257,136.9548055,3,175,http://www.genky.co.jp/shop/cont.php?cont_no=175&g=3&ar=&page=1
岐阜県本巣市曽井中島1532-1,AM9:00〜PM9:00,1月1日のみ,0581-34-8090,ゲンキー文殊店,501-1205,35.4809738,136.673995,3,177,http://www.genky.co.jp/shop/cont.php?cont_no=177&g=3&ar=&page=1
岐阜県本巣市小柿1056,AM9:00〜PM9:00,1月1日のみ,058-322-2590,ゲンキー本巣小柿店,501-0463,35.4249491,136.6812721,3,178,http://www.genky.co.jp/shop/cont.php?cont_no=178&g=3&ar=&page=1
岐阜県瑞穂市田之上238番1,AM9:00〜PM9:00,1月1日のみ,058-328-7270,ゲンキー田之上店,501-0304,35.4121656,136.6508341,3,180,http://www.genky.co.jp/shop/cont.php?cont_no=180&g=3&ar=&page=1
岐阜県下呂市金山町金山1887,AM9:00〜PM9:00,1月1日のみ,0576-34-0760,ゲンキー金山店,509-1622,35.661823,137.155728,3,183,http://www.genky.co.jp/shop/cont.php?cont_no=183&g=3&ar=&page=1
岐阜県岐阜市西鶉1丁目46番1,AM9:00〜PM9:00,1月1日のみ,058-215-8130,ゲンキー中鶉店,500-8286,35.3838418,136.7282388,3,185,http://www.genky.co.jp/shop/cont.php?cont_no=185&g=3&ar=&page=1
岐阜県関市広見120番,AM9:00〜PM9:00,1月1日のみ,0575-29-6200,ゲンキー広見店,501-3263,35.5145976,136.8607892,3,186,http://www.genky.co.jp/shop/cont.php?cont_no=186&g=3&ar=&page=1
岐阜県土岐市下石町字上橋詰1905番,AM9:00〜PM9:00,1月1日のみ,0572-58-2870,ゲンキー山神店,509-5202,35.3233137,137.2028507,3,191,http://www.genky.co.jp/shop/cont.php?cont_no=191&g=3&ar=&page=1
岐阜県中津川市苗木7508番,AM9:00〜PM9:00,1月1日のみ,0573-62-1080,ゲンキー苗木店,508-0101,35.522764,137.4753435,3,192,http://www.genky.co.jp/shop/cont.php?cont_no=192&g=3&ar=&page=1
岐阜県岐阜市粟野西3丁目67-1,AM9:00〜PM9:00,1月1日のみ,058-215-9550,ゲンキー岩野田店,502-0006,35.522764,137.4753435,3,193,http://www.genky.co.jp/shop/cont.php?cont_no=193&g=3&ar=&page=1
岐阜県揖斐郡揖斐川町上南方字松原184番地,AM9:00〜PM9:00,1月1日のみ,0585-52-9220,ゲンキー揖斐南方店,501-0603,35.4897725,136.5640478,3,194,http://www.genky.co.jp/shop/cont.php?cont_no=194&g=3&ar=&page=1
岐阜県各務原市那加土山町2丁目165番地,AM9:00〜PM9:00,1月1日のみ,058-372-2070,ゲンキー土山店,504-0041,35.412131,136.819159,3,195,http://www.genky.co.jp/shop/cont.php?cont_no=195&g=3&ar=&page=1
岐阜県各務原市那加前洞新町4丁目178番地,AM9:00〜PM9:00,1月1日のみ,058-372-2710,ゲンキーいちょう通り前洞新町店,504-0021,35.407118,136.8419064,3,196,http://www.genky.co.jp/shop/cont.php?cont_no=196&g=3&ar=&page=1
岐阜県羽島市正木町曲利1402,AM9:00〜PM9:00,1月1日のみ,058-322-8410,ゲンキー曲利東店,501-6227,35.3239671,136.7215014,3,198,http://www.genky.co.jp/shop/cont.php?cont_no=198&g=3&ar=&page=2
岐阜県可児市下恵土1930番1,AM9:00〜PM9:00,1月1日のみ,0574-42-8152,ゲンキー鳥屋場橋西店,509-0203,35.4151678,137.0537738,3,201,http://www.genky.co.jp/shop/cont.php?cont_no=201&g=3&ar=&page=2
岐阜県多治見市笠原町字向島2455番421,AM9:00〜PM9:00,1月1日のみ,0572-26-9410,ゲンキー滝呂台店,507-0901,35.3138112,137.1614937,3,301,http://www.genky.co.jp/shop/cont.php?cont_no=301&g=3&ar=&page=2
岐阜県羽島郡笠松町田代1164番1,AM9:00〜PM9:00,1月1日のみ,058-322-4560,ゲンキー田代若宮店,501-6062,35.3629055,136.7451951,3,302,http://www.genky.co.jp/shop/cont.php?cont_no=302&g=3&ar=&page=2
岐阜県可児市土田字富士ノ井5500番地,AM9:00〜PM9:00,1月1日のみ,0574-48-8091,ゲンキー土田店,509-0206,35.4275359,137.0221332,3,309,http://www.genky.co.jp/shop/cont.php?cont_no=309&g=3&ar=&page=2
岐阜県岐阜市溝口上105番地,AM9:00〜PM9:00,1月1日のみ,058-215-1890,ゲンキー岐関大橋西店,501-2557,35.4798398,136.8345586,3,312,http://www.genky.co.jp/shop/cont.php?cont_no=312&g=3&ar=&page=2
岐阜県岐阜市太郎丸北郷253番地,AM9:00〜PM9:00,1月1日のみ,058-214-8420,ゲンキー太郎丸北郷店,501-2572,35.49245,136.8127578,3,315,http://www.genky.co.jp/shop/cont.php?cont_no=315&g=3&ar=&page=2
岐阜県美濃市曽代225-77,AM9:00〜PM9:00,1月1日のみ,0575-46-7630,ゲンキー曽代店,501-3714,35.5572708,136.9139344,3,317,http://www.genky.co.jp/shop/cont.php?cont_no=317&g=3&ar=&page=2
岐阜県岐阜市長良井田58番地,AM9:00〜PM9:00,1月1日のみ,058-213-7520,ゲンキー長良公園北店,502-0054,35.4491187,136.7836047,3,319,http://www.genky.co.jp/shop/cont.php?cont_no=319&g=3&ar=&page=2
岐阜県大垣市東前4丁目24-2,AM9:00〜PM9:00,1月1日のみ,0584-47-7320,ゲンキー東前店,503-0835,35.3467818,136.6366514,3,320,http://www.genky.co.jp/shop/cont.php?cont_no=320&g=3&ar=&page=2
岐阜県大垣市万石3丁目70番地,AM9:00〜PM9:00,1月1日のみ,0584-71-6120,ゲンキー万石店,503-0812,35.3610635,136.648483,3,321,http://www.genky.co.jp/shop/cont.php?cont_no=321&g=3&ar=&page=2
岐阜県本巣郡北方町栄町2丁目120番地,AM9:00〜PM9:00,1月1日のみ,058-322-6870,ゲンキー北方中央店,501-0425,35.4409604,136.6845979,3,322,http://www.genky.co.jp/shop/cont.php?cont_no=322&g=3&ar=&page=2
岐阜県岐阜市折立字野寄338-2,AM9:00〜PM9:00,1月1日のみ,058-215-7130,ゲンキー折立店,501-1132,35.4574161,136.7355156,3,323,http://www.genky.co.jp/shop/cont.php?cont_no=323&g=3&ar=&page=2
岐阜県岐阜市旦島3丁目1番16号,AM9:00〜PM9:00,1月1日のみ,058-214-3870,ゲンキー旦島3丁目店,502-0926,35.4310556,136.7208808,3,324,http://www.genky.co.jp/shop/cont.php?cont_no=324&g=3&ar=&page=2
岐阜県各務原市蘇原花園町二丁目34番2,AM9:00〜PM9:00,1月1日のみ,058-322-3310,ゲンキー花園店,504-0832,35.4106754,136.8487743,3,327,http://www.genky.co.jp/shop/cont.php?cont_no=327&g=3&ar=&page=2
岐阜県多治見市弁天町2丁目44番1,AM9:00〜PM9:00,1月1日のみ,0572-44-7260,ゲンキー弁天町店,507-0028,35.3395771,137.1289058,3,335,http://www.genky.co.jp/shop/cont.php?cont_no=335&g=3&ar=&page=2
岐阜県不破郡垂井町字追分2308番1,AM9:00〜PM9:00,1月1日のみ,0584-71-6920,ゲンキー垂井中央店,503-2100,35.3734574,136.5337921,3,337,http://www.genky.co.jp/shop/cont.php?cont_no=337&g=3&ar=&page=2
岐阜県多治見市下沢町3丁目13番1,AM9:00〜PM9:00,1月1日のみ,0572-44-7830,ゲンキー下沢店,507-0812,35.3261838,137.1515699,3,339,http://www.genky.co.jp/shop/cont.php?cont_no=339&g=3&ar=&page=2
岐阜県各務原市大野町1丁目137番1,AM9:00〜PM9:00,1月1日のみ,058-322-5370,ゲンキー各務原インター南店,504-0934,35.3888013,136.8171316,3,340,http://www.genky.co.jp/shop/cont.php?cont_no=340&g=3&ar=&page=2
岐阜県大垣市中野町3丁目53番地,AM9:00〜PM9:00,1月1日のみ,0584-71-6840,ゲンキー中野店,503-0022,35.3830141,136.6076279,3,344,http://www.genky.co.jp/shop/cont.php?cont_no=344&g=3&ar=&page=2
岐阜県羽島郡笠松町円城寺字川田360番地,AM9:00〜PM9:00,1月1日のみ,058-322-5990,ゲンキー円城寺西店,501-6035,35.3767676,136.7803054,3,346,http://www.genky.co.jp/shop/cont.php?cont_no=346&g=3&ar=&page=3
岐阜県多治見市小名田町1丁目100番,AM9:00〜PM9:00,1月1日のみ,0572-44-9388,ゲンキー小名田1丁目店,507-0004,35.3606386,137.1291759,3,351,http://www.genky.co.jp/shop/cont.php?cont_no=351&g=3&ar=&page=3
岐阜県多治見市大畑町2丁目103番3,AM9:00〜PM9:00,1月1日のみ,0572−26−8610,ゲンキー大畑町店,507-0818,35.3191336,137.1294644,3,352,http://www.genky.co.jp/shop/cont.php?cont_no=352&g=3&ar=&page=3
岐阜県羽島郡岐南町徳田4丁目20番1,AM9:00〜PM9:00,1月1日のみ,058-215-5890,ゲンキー徳田店,501-6016,35.383371,136.7735778,3,353,http://www.genky.co.jp/shop/cont.php?cont_no=353&g=3&ar=&page=3
岐阜県可児郡御嵩町上恵土字東田563番,AM9:00〜PM9:00,1月1日のみ,0574-48-8390,ゲンキー上恵土店,505-0126,35.4372177,137.0784072,3,354,http://www.genky.co.jp/shop/cont.php?cont_no=354&g=3&ar=&page=3
岐阜県岐阜市芥見堀田6番,AM9:00〜PM9:00,1月1日のみ,058-215-6134,ゲンキー下芥見店,501-3147,35.4438676,136.8392161,3,355,http://www.genky.co.jp/shop/cont.php?cont_no=355&g=3&ar=&page=3
岐阜県各務原市蘇原新栄町1丁目22番,AM9:00〜PM9:00,1月1日のみ,058-372-6610,ゲンキー蘇原新栄町店,504-0855,35.4438676,136.8392161,3,356,http://www.genky.co.jp/shop/cont.php?cont_no=356&g=3&ar=&page=3
岐阜県恵那市大井町字舟山1122番8,AM9:00〜PM9:00,1月1日のみ,057-322-9420,ゲンキー大井舟山店,509-7201,35.4539225,137.4209702,3,358,http://www.genky.co.jp/shop/cont.php?cont_no=358&g=3&ar=&page=3
岐阜県各務原市蘇原六軒町,AM9:00〜PM9:00,1月1日のみ,058-322-6490,ゲンキー六軒町店,504-0905,35.4000709,136.8593654,3,359,http://www.genky.co.jp/shop/cont.php?cont_no=359&g=3&ar=&page=3
岐阜県加茂郡坂祝町酒倉字雲埋866番13,AM9:00〜PM9:00,1月1日のみ,057-448-8430,ゲンキー酒倉店,505-0074,35.4375171,136.9978727,3,361,http://www.genky.co.jp/shop/cont.php?cont_no=361&g=3&ar=&page=3
岐阜県恵那市岩村町飯羽間字大坪2372番1,AM9:00〜PM9:00,1月1日のみ,0573-43-2330,ゲンキー岩村店,509-7403,35.3782308,137.431634,3,364,http://www.genky.co.jp/shop/cont.php?cont_no=364&g=3&ar=&page=3
岐阜県中津川市茄子川字坂本1534番16,AM9:00〜PM9:00,1月1日のみ,0573-67-8460,ゲンキー深沢店,509-9132,35.4683515,137.460148,3,366,http://www.genky.co.jp/shop/cont.php?cont_no=366&g=3&ar=&page=3
岐阜県加茂郡川辺町上川辺字下松田1120番2,AM9:00〜PM9:00,1月1日のみ,0574-49-7680,ゲンキー川辺店,509-0302,35.5085562,137.0810338,3,367,http://www.genky.co.jp/shop/cont.php?cont_no=367&g=3&ar=&page=3
岐阜県岐阜市岩地2丁目1番9,AM9:00〜PM9:00,1月1日のみ,058-213-7540,ゲンキー岩地店,500-8225,35.4075589,136.8039687,3,368,http://www.genky.co.jp/shop/cont.php?cont_no=368&g=3&ar=&page=3
岐阜県加茂郡八百津町和知字鳥居前1921番,AM9:00〜PM9:00,1月1日のみ,057-442-9340,ゲンキー八百津店,505-0305,35.4713182,137.1073696,3,370,http://www.genky.co.jp/shop/cont.php?cont_no=370&g=3&ar=&page=3
岐阜県岐阜市上尻毛八幡57番1,AM9:00〜PM9:00,1月1日のみ,058-201-2370,ゲンキー上尻毛八幡店,501-1149,35.443671,136.7051112,3,371,http://www.genky.co.jp/shop/cont.php?cont_no=371&g=3&ar=&page=3
岐阜県本巣市春近188-1,AM9:00〜PM9:00,1月1日のみ,058-201-7260,ゲンキー糸貫五反田店,501-0404,35.4497466,136.6963621,3,373,http://www.genky.co.jp/shop/cont.php?cont_no=373&g=3&ar=&page=3
岐阜県羽島郡笠松町米野402,AM9:00〜PM9:00,1月1日のみ,058-372-4700,ゲンキー米野店,501-6031,35.3804187,136.8085606,3,374,http://www.genky.co.jp/shop/cont.php?cont_no=374&g=3&ar=&page=3
岐阜県恵那市長島町永田521-1,AM9:00〜PM9:00,1月1日のみ,057-322-9150,ゲンキー長島永田店,509-7204,35.446146,137.3995743,3,375,http://www.genky.co.jp/shop/cont.php?cont_no=375&g=3&ar=&page=3
岐阜県土岐市駄知町328-1,AM9:00〜PM9:00,1月1日のみ,057-244-8240,ゲンキー駄知店,509-5401,35.3295922,137.2363763,3,377,http://www.genky.co.jp/shop/cont.php?cont_no=377&g=3&ar=&page=3
岐阜県中津川市駒場442-4,AM9:00〜PM9:00,1月1日のみ,0573-67-9570,ゲンキー駒場店,508-0011,35.4906521,137.488923,3,379,http://www.genky.co.jp/shop/cont.php?cont_no=379&g=3&ar=&page=4
岐阜県岐阜市芥見町屋1丁目114,AM9:00〜PM9:00,1月1日のみ,058-201-5360,ゲンキー芥見町屋店,501-3116,35.4580144,136.8390459,3,381,http://www.genky.co.jp/shop/cont.php?cont_no=381&g=3&ar=&page=4
岐阜県羽島市竹鼻町蜂尻155-1,AM9:00〜PM9:00,1月1日のみ,058-325-8130,ゲンキー竹鼻蜂尻店,501-6235,35.3085378,136.713464,3,384,http://www.genky.co.jp/shop/cont.php?cont_no=384&g=3&ar=&page=4
岐阜県飛騨市古川町高野236-1,AM9:00〜PM9:00,1月1日のみ,0577-57-5070,ゲンキー古川高野店,509-4256,36.2352014,137.178365,3,388,http://www.genky.co.jp/shop/cont.php?cont_no=388&g=3&ar=&page=4
岐阜県高山市石浦町2丁目150,AM9:00〜PM9:00,1月1日のみ,0577-57-5520,ゲンキー石浦店,506-0825,36.2352014,137.178365,3,389,http://www.genky.co.jp/shop/cont.php?cont_no=389&g=3&ar=&page=4
岐阜県岐阜市清634-3,AM9:00〜PM9:00,1月1日のみ,058-201-0360,ゲンキー三里店,500-8346,35.4085167,136.7437897,3,394,http://www.genky.co.jp/shop/cont.php?cont_no=394&g=3&ar=&page=4
岐阜県大垣市林町1丁目192-1,AM9:00〜PM9:00,1月1日のみ,0584-84-4260,ゲンキー林町1丁目店,503-0015,35.3676749,136.6257744,3,397,http://www.genky.co.jp/shop/cont.php?cont_no=397&g=3&ar=&page=4
岐阜県下呂市萩原町上呂823,AM9:00〜PM9:00,1月1日のみ,0576-56-4330,ゲンキー萩原上呂店,509-2518,35.9089767,137.2035162,3,401,http://www.genky.co.jp/shop/cont.php?cont_no=401&g=3&ar=&page=4
岐阜県土岐市泉町定林寺土居200-1,AM9:00〜PM9:00,1月1日のみ,0572-56-2980,ゲンキー定林寺店,509-5102,35.3673088,137.1978771,3,403,http://www.genky.co.jp/shop/cont.php?cont_no=403&g=3&ar=&page=4
岐阜県中津川市田瀬941,AM9:00〜PM9:00,1月1日のみ,0573−67−9030,ゲンキー田瀬店,508-0201,35.6185776,137.4619111,3,407,http://www.genky.co.jp/shop/cont.php?cont_no=407&g=3&ar=&page=4
岐阜県郡上市八幡町初納99-1,AM9:00〜PM9:00,1月1日のみ,0575-67-9384,ゲンキー初納店,501-4203,35.7643868,136.9814238,3,413,http://www.genky.co.jp/shop/cont.php?cont_no=413&g=3&ar=&page=4
岐阜県養老郡養老町大巻1226,AM9:00〜PM9:00,1月1日のみ,0584-84-2520,ゲンキー養老大巻店,503-1275,35.2512551,136.6030745,3,414,http://www.genky.co.jp/shop/cont.php?cont_no=414&g=3&ar=&page=4
岐阜県中津川市落合与坂1019番6,AM9:00〜PM9:00,1月1日のみ,0573-67-7780,ゲンキー落合店,508-0006,35.5116416,137.5260267,3,417,http://www.genky.co.jp/shop/cont.php?cont_no=417&g=3&ar=&page=4
岐阜県関市下之保2183-1,AM9:00〜PM9:00,1月1日のみ,0575-49-3950,ゲンキー武儀店,501-3521,35.5621606,137.0020337,3,420,http://www.genky.co.jp/shop/cont.php?cont_no=420&g=3&ar=&page=4
岐阜県大垣市荒尾玉池二丁目27,AM9:00〜PM9:00,1月1日のみ,0584-84-3180,ゲンキー荒尾玉池店,503-0035,35.3760102,136.574749,3,422,http://www.genky.co.jp/shop/cont.php?cont_no=422&g=3&ar=&page=4
岐阜県郡上市大和町徳永648-1,AM9:00〜PM9:00,1月1日のみ,0575-88-5510,ゲンキー大和徳永店,501-4607,35.8073599,136.9021993,3,423,http://www.genky.co.jp/shop/cont.php?cont_no=423&g=3&ar=&page=4
岐阜県本巣市政田字上市場1504,AM9:00〜PM9:00,1月1日のみ,058-260-5110,ゲンキー真正店,501-0471,35.4288389,136.6470966,3,426,http://www.genky.co.jp/shop/cont.php?cont_no=426&g=3&ar=&page=4
岐阜県山県市岩佐1385番,AM9:00〜PM9:00,1月1日のみ,0581-52-1710,ゲンキー岩佐店,501-2259,35.543419,136.792395,3,428,http://www.genky.co.jp/shop/cont.php?cont_no=428&g=3&ar=&page=4
岐阜県山県市大森302-2,AM9:00〜PM9:00,1月1日のみ,0581-36-0050,ゲンキー伊自良南店,501-2123,35.5232399,136.7339174,3,431,http://www.genky.co.jp/shop/cont.php?cont_no=431&g=3&ar=&page=4
岐阜県羽島市福寿町間島7丁目4番,AM9:00〜PM9:00,1月1日のみ,058-201-7540,ゲンキー間島店,501-6251,35.3309902,136.696418,3,432,http://www.genky.co.jp/shop/cont.php?cont_no=432&g=3&ar=&page=4
岐阜県揖斐郡揖斐川町谷汲名礼244-126,AM9:00〜PM9:00,1月1日のみ,0585-56-3880,ゲンキー谷汲店,501-1314,35.5244902,136.6109247,3,433,http://www.genky.co.jp/shop/cont.php?cont_no=433&g=3&ar=&page=5
岐阜県恵那市明智町839−5,AM9:00〜PM9:00,1月1日のみ,0573-54-2078,ゲンキー明智店,509-7731,35.3020287,137.3876642,3,436,http://www.genky.co.jp/shop/cont.php?cont_no=436&g=3&ar=&page=5
岐阜県加茂郡白川町三川902番,AM9:00〜PM9:00,1月1日のみ,0574-72-2627,ゲンキー加茂白川店,509-1113,35.5683786,137.2231966,3,437,http://www.genky.co.jp/shop/cont.php?cont_no=437&g=3&ar=&page=5
岐阜県恵那市長島町中野1187,AM9:00〜PM9:00,1月1日のみ,0573-59-4680,ゲンキー恵那インター北店,509-7205,35.4590382,137.3899856,3,443,http://www.genky.co.jp/shop/cont.php?cont_no=443&g=3&ar=&page=5
岐阜県可児市今渡682-4,AM9:00〜PM9:00,1月1日のみ,0574-66-7470,ゲンキー今渡店,509-0207,35.4278776,137.0393095,3,444,http://www.genky.co.jp/shop/cont.php?cont_no=444&g=3&ar=&page=5
岐阜県関市洞戸通元寺261,AM9:00〜PM9:00,1月1日のみ,0581-58-2220,ゲンキー洞戸店,501-2802,35.6082803,136.8197169,3,445,http://www.genky.co.jp/shop/cont.php?cont_no=445&g=3&ar=&page=5
岐阜県可児市広見1341番,AM9:00〜PM9:00,1月1日のみ,0574-42-9370,ゲンキー広見伊川店,509-0214,35.417669,137.0695595,3,448,http://www.genky.co.jp/shop/cont.php?cont_no=448&g=3&ar=&page=5
岐阜県各務原市鵜沼各務原町六丁目42-1,AM9:00〜PM9:00,1月1日のみ,058-372-9830,ゲンキーにんじん通り店,509-0141,35.3997401,136.9080752,3,449,http://www.genky.co.jp/shop/cont.php?cont_no=449&g=3&ar=&page=5
岐阜県大垣市浅草三丁目86番1,AM9:00〜PM9:00,1月1日のみ,0584-84-8655,ゲンキー大垣インター南店,503-0947,35.3096356,136.6161853,3,450,http://www.genky.co.jp/shop/cont.php?cont_no=450&g=3&ar=&page=5
岐阜県各務原市鵜沼東町五丁目50番2,AM9:00〜PM9:00,1月1日のみ,058-372-5850,ゲンキー鵜沼東店,509-0126,35.4024547,136.9421639,3,455,http://www.genky.co.jp/shop/cont.php?cont_no=455&g=3&ar=&page=5
岐阜県高山市上岡本町四丁目490番,AM9:00〜PM9:00,1月1日のみ,0577-57-7630,ゲンキー上岡本松倉店,506-0055,36.1403015,137.2413245,3,457,http://www.genky.co.jp/shop/cont.php?cont_no=457&g=3&ar=&page=5
岐阜県高山市岡本町四丁目375番,AM9:00〜PM9:00,1月1日のみ,0577-57-5720,ゲンキー岡本店,506-0054,36.1522036,137.2470765,3,460,http://www.genky.co.jp/shop/cont.php?cont_no=460&g=3&ar=&page=5
岐阜県高山市久々野町久々野字中島2485番,AM9:00〜PM9:00,1月1日のみ,0577-52-2555,ゲンキー久々野店,509-3205,36.052669,137.28159,3,462,http://www.genky.co.jp/shop/cont.php?cont_no=462&g=3&ar=&page=5
岐阜県関市西本郷通6丁目6番47号,AM9:00〜PM9:00,1月1日のみ,0575-29-7800,ゲンキー西本郷店,501-3803,35.4908855,136.9214933,3,464,http://www.genky.co.jp/shop/cont.php?cont_no=464&g=3&ar=&page=5
岐阜県恵那市大井町422番,AM9:00〜PM9:00,1月1日のみ,0573-59-4720,ゲンキー恵那大井店,509-7201,35.465944,137.403056,3,469,http://www.genky.co.jp/shop/cont.php?cont_no=469&g=3&ar=&page=5
岐阜県山県市高富2338番1,AM9:00〜PM9:00,1月1日のみ,0581-32-9570,ゲンキー高富店,501-2105,35.503028,136.786583,3,481,http://www.genky.co.jp/shop/cont.php?cont_no=481&g=3&ar=&page=5
岐阜県可児市菅刈1076番地,AM9:00〜PM9:00,1月1日のみ,0574-66-6380,ゲンキー菅刈店,509-0262,35.406,137.003722,3,482,http://www.genky.co.jp/shop/cont.php?cont_no=482&g=3&ar=&page=5
岐阜県羽島市福寿町平方85番地,AM9:00〜PM9:00,1月1日のみ,0583-22-8630,ゲンキー福寿平方店,501-6257,35.319694,136.678861,3,483,http://www.genky.co.jp/shop/cont.php?cont_no=483&g=3&ar=&page=5
岐阜県瑞穂市牛牧字宮下309-2,AM9:00〜PM9:00,1月1日のみ,058-260-8110,ゲンキー牛牧店,501-0234,35.378861,136.668389,3,488,http://www.genky.co.jp/shop/cont.php?cont_no=488&g=3&ar=&page=5
岐阜県安八郡安八町森部1558番2,AM9:00〜PM9:00,1月1日のみ,0584-84-7220,ゲンキー安八店,503-0114,35.333667,136.675806,3,491,http://www.genky.co.jp/shop/cont.php?cont_no=491&g=3&ar=&page=5
愛知県知多郡東浦町大字森岡字前田55-1,AM9:00〜PM9:00,1月1日のみ,0562-82-3390,ゲンキー東浦店,470-2101,34.992706,136.9686409,4,108,http://www.genky.co.jp/shop/cont.php?cont_no=108&g=4&ar=&page=0
愛知県犬山市大字五郎丸字稲葉組36-1,AM9:00〜PM9:00,1月1日のみ,0568-63-2900,ゲンキー犬山五郎丸店,484-0066,35.3607312,136.9456794,4,135,http://www.genky.co.jp/shop/cont.php?cont_no=135&g=4&ar=&page=0
愛知県名古屋市中川区富船町3丁目1-1,AM9:00〜PM9:00,1月1日のみ,052-365-1470,ゲンキー富船店,454-0823,35.1441543,136.8747826,4,139,http://www.genky.co.jp/shop/cont.php?cont_no=139&g=4&ar=&page=0
愛知県半田市のぞみが丘二丁目210番地,AM9:00〜PM9:00,1月1日のみ,0569-20-0660,ゲンキーのぞみが丘店,475-0019,34.9272349,136.9572237,4,143,http://www.genky.co.jp/shop/cont.php?cont_no=143&g=4&ar=&page=0
愛知県名古屋市中川区玉川町1丁目1番地,AM9:00〜PM9:00,1月1日のみ,052-659-1620,ゲンキー中川玉川店,454-0058,35.123602,136.8781257,4,146,http://www.genky.co.jp/shop/cont.php?cont_no=146&g=4&ar=&page=0
愛知県碧南市塩浜町2丁目34番1,AM9:00〜PM9:00,1月1日のみ,0566-45-2370,ゲンキー碧南店,447-0841,34.869149,136.985524,4,150,http://www.genky.co.jp/shop/cont.php?cont_no=150&g=4&ar=&page=0
愛知県稲沢市西町3-165-1,AM9:00〜PM9:00,1月1日のみ,0587-34-5590,ゲンキー稲沢西店,492-8218,35.2506105,136.7827764,4,179,http://www.genky.co.jp/shop/cont.php?cont_no=179&g=4&ar=&page=0
愛知県刈谷市小垣江町下広6番1,AM9:00〜PM9:00,1月1日のみ,0566-91-3280,ゲンキー小垣江下広店,448-0813,34.967344,137.000885,4,187,http://www.genky.co.jp/shop/cont.php?cont_no=187&g=4&ar=&page=0
愛知県一宮市今伊勢町本神戸字宮山1-2,AM9:00〜PM9:00,1月1日のみ,0586-26-2170,ゲンキー今伊勢店,491-0053,35.3152826,136.79408,4,189,http://www.genky.co.jp/shop/cont.php?cont_no=189&g=4&ar=&page=0
愛知県西尾市徳永町東側34番1,AM9:00〜PM9:00,1月1日のみ,0563-65-5610,ゲンキー徳永店,444-0315,34.8415242,137.0215226,4,197,http://www.genky.co.jp/shop/cont.php?cont_no=197&g=4&ar=&page=0
愛知県高浜市八幡町2丁目3-48,AM9:00〜PM9:00,1月1日のみ,0566-93-3150,ゲンキー吉浜八幡店,444-1302,34.9517932,136.9970627,4,200,http://www.genky.co.jp/shop/cont.php?cont_no=200&g=4&ar=&page=0
愛知県高浜市田戸町4丁目3-10,AM9:00〜PM9:00,1月1日のみ,0566-91-0350,ゲンキー田戸店,444-1323,34.9116484,136.9895397,4,202,http://www.genky.co.jp/shop/cont.php?cont_no=202&g=4&ar=&page=0
愛知県西尾市一色町味浜上長割47-1,AM9:00〜PM9:00,1月1日のみ,0563-79-5530,ゲンキー一色南部店,444-0422,34.8080051,137.0200019,4,303,http://www.genky.co.jp/shop/cont.php?cont_no=303&g=4&ar=&page=0
愛知県半田市成岩東町36番地,AM9:00〜PM9:00,1月1日のみ,0569-89-6530,ゲンキー成岩東町店,475-0845,34.8809042,136.9254569,4,304,http://www.genky.co.jp/shop/cont.php?cont_no=304&g=4&ar=&page=0
愛知県碧南市二本木町2丁目47番地,AM9:00〜PM9:00,1月1日のみ,0566-45-6750,ゲンキー二本木店,447-0029,34.8920975,137.0112735,4,305,http://www.genky.co.jp/shop/cont.php?cont_no=305&g=4&ar=&page=0
愛知県西尾市平坂町空町22番地,AM9:00〜PM9:00,1月1日のみ,0563-79-5160,ゲンキー平坂橋南店,444-0305,34.8607558,137.0140931,4,306,http://www.genky.co.jp/shop/cont.php?cont_no=306&g=4&ar=&page=0
愛知県常滑市熊野町4丁目50番地,AM9:00〜PM9:00,1月1日のみ,0569-89-2750,ゲンキー熊野店,479-0817,34.8613214,136.8579441,4,308,http://www.genky.co.jp/shop/cont.php?cont_no=308&g=4&ar=&page=0
愛知県知多郡南知多町内海字西浜田34番地,AM9:00〜PM9:00,1月1日のみ,0569-47-8130,ゲンキー内海店,470-3321,34.7386005,136.8694755,4,326,http://www.genky.co.jp/shop/cont.php?cont_no=326&g=4&ar=&page=0
愛知県小牧市大字二重堀字中田1036番1,AM9:00〜PM9:00,1月1日のみ,0568-54-1260,ゲンキー二重堀店,485-0021,35.2892696,136.9400049,4,330,http://www.genky.co.jp/shop/cont.php?cont_no=330&g=4&ar=&page=0
